age,decile_score,priors_count,sex_Female,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other,age_scaled,decile_score_scaled,priors_count_scaled,sex_Female_scaled,race_African-American_scaled,race_Asian_scaled,race_Caucasian_scaled,race_Hispanic_scaled,race_Native American_scaled,race_Other_scaled,errors,TP,TN,FN,FP,Error_Type,Shap_age,Shap_decile_score,Shap_priors_count,Shap_sex_Female,Shap_race_African-American,Shap_race_Asian,Shap_race_Caucasian,Shap_race_Hispanic,Shap_race_Native American,Shap_race_Other,Shap_age_scaled,Shap_decile_score_scaled,Shap_priors_count_scaled,Shap_sex_Female_scaled,Shap_race_African-American_scaled,Shap_race_Asian_scaled,Shap_race_Caucasian_scaled,Shap_race_Hispanic_scaled,Shap_race_Native American_scaled,Shap_race_Other_scaled,errors_scaled,TP_scaled,TN_scaled,FN_scaled,FP_scaled
33.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.15292545803710308,-0.17840667553457135,0.5177144089890432,2.0423824727201687,0.9756227892171374,-0.06675015657623451,-0.7180154723175505,-0.31121161352019533,-0.05001389467860642,-0.2348215147223741,0.0,1.0,0.0,0.0,0.0,TP,0.06538810036745417,-0.013034931420406792,0.038297221466200425,0.048858765184122604,0.052382667160090934,-0.0003708730169455521,-0.0023006183599864017,0.004185386240715161,0.0,0.003747234188776929,0.599060725424924,-0.13965480842487948,0.2222469776848696,1.225287782214559,1.6460876874600443,-0.21202194865625493,-0.028427622414617368,0.29715603371415483,0.049156797419111886,0.32963840921020426,1.3036069852505057,-0.575722551630954,-0.7838841005616433,2.014922928548035,-0.457088381699196
34.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.06880771085603854,-1.2287541379717832,-0.09676267992950852,-0.4896242566497053,0.9756227892171374,-0.06675015657623451,-0.7180154723175505,-0.31121161352019533,-0.05001389467860642,-0.2348215147223741,1.0,0.0,0.0,1.0,0.0,FN,0.04152831540308398,0.018396872358825932,-0.1126836333643223,-0.012004294660910091,-0.0395905487141863,0.00010025002207839861,0.017489377689998947,-0.022557301706838187,0.0,-0.0035260832248604854,0.3686640537454773,0.21981632347718058,-0.7431116793398158,-0.39762782905432403,-1.3943638446382423,-0.02809067053048136,0.7515638505593506,-1.4528925481386676,0.049156797419111886,-0.32817781588850603,-0.7671023639136427,1.736947766188971,-0.7838841005616433,-0.4962968984231104,-0.457088381699196
30.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.40527869958029666,-0.5285224963469753,-0.7112397688480602,2.0423824727201687,0.9756227892171374,-0.06675015657623451,-0.7180154723175505,-0.31121161352019533,-0.05001389467860642,-0.2348215147223741,0.0,0.0,1.0,0.0,0.0,TN,0.04204566542930479,0.15992768800075283,-0.16782218526604992,-0.09301224854028987,0.004289711428828014,0.00044408333240426146,0.006666769808834943,-0.0013491038614301943,0.0,0.00046257164251073846,0.37365972844717904,1.8384393861293988,-1.0956628585862647,-2.557707741607799,0.056230254007519305,0.10614538882563232,0.3250078350186079,-0.06502246433110566,0.049156797419111886,0.032565671417042766,1.3036069852505057,-0.575722551630954,-0.7838841005616433,2.014922928548035,-0.457088381699196
31.0,10.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.32116095239923215,1.9222882493398525,0.3128887126828592,-0.4896242566497053,0.9756227892171374,-0.06675015657623451,-0.7180154723175505,-0.31121161352019533,-0.05001389467860642,-0.2348215147223741,1.0,0.0,0.0,0.0,1.0,FP,0.048565071771354267,0.040734411052471844,0.36159782900778736,0.014102498301290324,0.021854578291531652,0.00034407936851494014,0.0015431539864948717,-0.0002395991796947783,0.0,0.0019842500102822667,0.43661291619707226,0.47528051428560797,2.289403377494285,0.2985107148571778,0.6368898064234294,0.0671028131665984,0.12306860056268601,0.007583815884184895,0.049156797419111886,0.17018990294377292,-0.7671023639136427,-0.575722551630954,1.2756987918029112,-0.4962968984231104,-0.457088381699196
34.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.06880771085603854,-1.2287541379717832,-0.7112397688480602,-0.4896242566497053,-1.0249863072616656,-0.06675015657623451,1.3927276480161124,-0.31121161352019533,-0.05001389467860642,-0.2348215147223741,1.0,0.0,0.0,0.0,1.0,FP,0.05684910380041401,0.07261564970453037,0.22812791453987302,0.0031551214723367594,0.023068348810229507,4.916667239740491e-05,0.011102218681626254,0.002276341336691985,0.0,0.00024241670515039006,0.5166058168217607,0.8398916268132054,1.436008173654854,0.006598530300751879,0.6770146449224467,-0.04803413544197625,0.49982405483244574,0.17222762960118038,0.049156797419111886,0.01265433225842331,-0.7671023639136427,-0.575722551630954,1.2756987918029112,-0.4962968984231104,-0.457088381699196
40.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4358987722303486,-1.2287541379717832,-0.7112397688480602,-0.4896242566497053,0.9756227892171374,-0.06675015657623451,-0.7180154723175505,-0.31121161352019533,-0.05001389467860642,-0.2348215147223741,0.0,0.0,1.0,0.0,0.0,TN,-0.027134063062185305,-0.07042149263164901,-0.07845278830936878,0.01347032307596237,0.01858684311824618,0.00012361111992504448,0.04659334559157287,0.0002468940004473552,0.0,0.0023069464990112466,-0.29435883148236264,-0.7959586037610459,-0.5242425873071647,0.2816537404484898,0.5288649828955835,-0.018970257751991886,1.8986508300412153,0.03942005843611216,0.049156797419111886,0.1993753452936822,1.3036069852505057,-0.575722551630954,-0.7838841005616433,-0.4962968984231104,2.187760704576576
53.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5294294855841875,0.8719407869026405,0.10806301637667537,-0.4896242566497053,0.9756227892171374,-0.06675015657623451,-0.7180154723175505,-0.31121161352019533,-0.05001389467860642,-0.2348215147223741,0.0,0.0,1.0,0.0,0.0,TN,-0.028567900616908445,0.05068517615676683,0.17610723059962766,0.01878875374532072,0.05146801396789669,-0.00018138889252441003,0.062319010563478515,0.0021729934214090463,0.0,0.0043610595920836204,-0.30820436281596525,0.5890828534849829,1.103392375165491,0.42346987954385806,1.6158510726683315,-0.13804539836584986,2.518453105592498,0.16546451465428139,0.049156797419111886,0.38515424699226075,-0.7671023639136427,-0.575722551630954,1.2756987918029112,-0.4962968984231104,-0.457088381699196
29.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4893964467613612,-0.8786383171593792,-0.7112397688480602,-0.4896242566497053,0.9756227892171374,-0.06675015657623451,-0.7180154723175505,-0.31121161352019533,-0.05001389467860642,-0.2348215147223741,1.0,0.0,0.0,1.0,0.0,FN,0.007447072902687068,-0.06003906340178219,-0.038176988856339446,-0.05962964123518759,0.01855417367809423,0.0002598928631050512,0.025578428299268124,-0.003197595205929247,0.0,0.0013566706913115923,0.03956616579228545,-0.6772195198266027,-0.2667225744935153,-1.6675593547496117,0.5277849962014294,0.03423553591973884,1.0703810187764968,-0.1859882274717456,0.049156797419111886,0.1134301281288787,1.3036069852505057,-0.575722551630954,-0.7838841005616433,-0.4962968984231104,2.187760704576576
23.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.9941029298477484,1.2220566077150445,-0.7112397688480602,-0.4896242566497053,0.9756227892171374,-0.06675015657623451,-0.7180154723175505,-0.31121161352019533,-0.05001389467860642,-0.2348215147223741,1.0,0.0,0.0,1.0,0.0,FN,0.011116358563594986,0.01327295393057284,-0.09855906037788373,-0.016764794657137826,-0.015816062571975636,-0.00011186109448317438,-0.0003014006634475663,-0.022314096595873707,0.0,-0.003369083236611914,0.07499780128173876,0.16121641714934443,-0.6528003691770723,-0.5245667273120657,-0.6084266331489313,-0.1109010311842122,0.05036838906412691,-1.4369771412664243,0.049156797419111886,-0.31397836139796315,-0.7671023639136427,1.736947766188971,-0.7838841005616433,-0.4962968984231104,-0.457088381699196
45.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8564875081356713,-1.2287541379717832,-0.5064140725418763,-0.4896242566497053,-1.0249863072616656,-0.06675015657623451,1.3927276480161124,-0.31121161352019533,-0.05001389467860642,-0.2348215147223741,0.0,0.0,1.0,0.0,0.0,TN,0.029639632246289693,0.08899531583512726,0.17906225578968588,-0.0041531583497271644,0.028234788921108703,5.555556621402502e-05,0.01703746699477051,0.01851325493036711,0.0,-0.00023216663306811823,0.2538636465302732,1.0272183601276252,1.1222865531866106,-0.18827700577890386,0.8478068761312495,-0.04553984561073527,0.7337525034558134,1.234775555374575,0.049156797419111886,-0.030268120081727874,-0.7671023639136427,-0.575722551630954,1.2756987918029112,-0.4962968984231104,-0.457088381699196
